2024-05-07 16:05:27.8796 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-07 16:05:27.9301 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-07 16:05:29.8800 | INFO | Project2.Choosing1 | The image was loaded
2024-05-07 16:05:29.8800 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-07 16:05:35.1258 | INFO | ProjectTwo.YourCollections | The YourCollections form was loaded
2024-05-07 16:05:36.7811 | INFO | Bars.Podborki | The informaton was loaded from database
2024-05-07 16:05:36.8895 | INFO | Bars.Podborki | The informaton was loaded from database
2024-05-07 16:05:36.9029 | INFO | Bars.Podborki | User tried to load Podborki form
2024-05-07 16:05:36.9029 | INFO | Bars.Podborki | The Podborki form was loaded
2024-05-07 16:05:38.4950 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-07 16:05:38.5549 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-07 16:05:39.7276 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-07 16:05:45.6686 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-07 16:05:45.7238 | INFO | Project2.Choosing1 | User opened last Cafe form and click to back button
2024-05-07 16:05:45.7238 | INFO | Bars.Podborki | User opened last Choosing1 form and clicked to back button
2024-05-07 16:05:45.7238 | INFO | ProjectTwo.YourCollections | User clicked favs button and Podborki form was opened
2024-05-07 16:05:45.7339 | INFO | Project2.Choosing1 | User opened next YourCollections form and click to yours button
2024-05-07 16:05:45.7339 | INFO | ProjectTwo.YourRecomendations | User threw off all preferences and came back to the Choosing1 form
2024-05-07 16:05:45.7339 | INFO | Project2.Choosing1 | User opened next YourRecomendations form and click to show button
2024-05-07 16:05:45.7522 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-08 21:26:16.0655 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-08 21:27:35.7943 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-08 21:27:35.9571 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-08 21:27:42.3072 | INFO | Project2.Choosing1 | The image was loaded
2024-05-08 21:27:42.3072 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-08 21:27:45.6210 | WARN | Project2.Choosing1 | User tried to like the position but didn't choose the line
2024-05-08 21:27:48.9899 | INFO | Project2.Choosing1 | User saw message about his mark
2024-05-08 21:27:49.1180 | INFO | Project2.Choosing1 | The information in database was updated
2024-05-08 21:27:49.1180 | INFO | Project2.Choosing1 | User liked the chosen position
2024-05-08 21:27:51.5178 | INFO | Project2.Choosing1 | The image was loaded
2024-05-08 21:27:51.5178 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-08 21:28:09.0254 | INFO | Project2.Choosing1 | User saw message about his mark
2024-05-08 21:28:09.0342 | INFO | Project2.Choosing1 | The information in database was updated
2024-05-08 21:28:09.0342 | INFO | Project2.Choosing1 | User liked the chosen position
2024-05-08 21:28:10.9830 | INFO | Project2.Choosing1 | The image was loaded
2024-05-08 21:28:10.9830 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-08 21:28:17.4337 | INFO | ProjectTwo.YourRecomendations | The connection with database was succesful
2024-05-08 21:28:17.4445 | INFO | ProjectTwo.YourRecomendations | User tried to load this form
2024-05-08 21:28:17.4445 | INFO | ProjectTwo.YourRecomendations | The YourRecomendation form was loaded
2024-05-08 21:28:25.0285 | INFO | ProjectTwo.YourRecomendations | The image was loaded
2024-05-08 21:28:25.0285 | INFO | ProjectTwo.YourRecomendations | The information about chosen position was shown
2024-05-08 21:28:26.3523 | INFO | ProjectTwo.YourRecomendations | The image was loaded
2024-05-08 21:28:26.3523 | INFO | ProjectTwo.YourRecomendations | The information about chosen position was shown
2024-05-08 21:28:30.9261 | WARN | ProjectTwo.YourRecomendations | The adding to favourites wasn't succesful
2024-05-08 21:28:36.1967 | WARN | ProjectTwo.YourRecomendations | The adding to favourites wasn't succesful
2024-05-08 21:28:39.8836 | INFO | ProjectTwo.YourRecomendations | User added the position to the favourites
2024-05-08 21:28:43.2352 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-08 21:28:43.2908 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-08 21:28:44.3404 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-08 21:29:02.3293 | INFO | DZ.Cafe | Language changed to en-GB
2024-05-08 21:29:02.5097 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-08 21:29:02.5097 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-08 21:29:02.5770 | INFO | Project2.Choosing1 | User opened last Cafe form and click to back button
2024-05-08 21:29:02.5770 | INFO | ProjectTwo.YourRecomendations | User came back to the Choosing1 form
2024-05-08 21:29:02.5770 | INFO | Project2.Choosing1 | User opened next YourRecomendations form and click to show button
2024-05-08 21:29:03.4548 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-08 21:29:07.1603 | INFO | DZ.Cafe | Language changed to ru-RU
